"Year";"Average.total.efficiency";"Average.tram.efficiency";"Cologne.total.efficiency";"Cologne.tram.efficiency";"Bonn.total.efficiency";"Bonn.tram.efficiency"
"1";1994;0,468068998831839;0,374960957889577;0,579022686650818;0,724298092763495;0,475200163918015;0,515504273497372
"2";1995;0,474744440500075;0,384983291770373;0,596469405137552;0,893163880288865;0,513859584686405;0,617505223991617
"3";1996;0,491513520514477;0,405796371114677;0,602676350532111;0,830435325054286;0,516019116197797;0,6216939127485
"4";1997;0,506892554750563;0,426269639378656;0,619073212577684;0,898077451866821;0,53083673399109;0,628001779242306
"5";1998;0,524619118028927;0,454783536008581;0,650556557370746;0,96233528569971;0,517867665656537;0,629559126542054
"6";1999;0,525981777929867;0,464861040064088;0,645290054956891;0,943177028354467;0,582995456657801;0,722279819823373
"7";2000;0,537374082351729;0,483715541044855;0,655515204824691;0,954726490603971;0,58815829104964;0,717918976127303
"8";2001;0,54528875498232;0,489766140433645;0,634798915686054;0,938658951017015;0,564683070320427;0,726206518348202
"9";2002;0,564310147154392;0,512668325225361;0,655828020162872;0,903597012286973;0,594257326989881;0,778837049656324
"10";2003;0,615534443802015;0,592666666552769;0,660081244434114;0,934407352084808;0,601780576664758;0,789738886163804
"11";2004;0,57954719734818;0,530322411841236;0,638275491580965;0,952885831969424;0,472667394260604;0,789293104172987
"12";2005;0,579514888221926;0,536662346372881;0,626255033660267;0,941325347008084;0,494733099718914;0,809443792260537
"13";2006;0,567088542490355;0,557290346061697;0,60287131642161;0,92547636549855;0,511633934492371;0,779092952125276
